***************** Episode: 00 | Action: [0.85322684 0.08043711 0.05577299], Reward: 6.0538461538461545
99 | Action: [0.5249462  0.14420216 0.00338732], Reward: 39.66887417218537
198 | Action: [-0.14698711  0.179807    0.01947642], Reward: 92.68278145695389
297 | Action: [-0.16589014  0.1822322   0.01345923], Reward: 175.49801324503383
396 | Action: [-0.35480493  0.14240173  0.00285698], Reward: 175.53178807947145
495 | Action: [0.20404628 0.18399438 0.00299429], Reward: 165.63178807947202
594 | Action: [-0.15884131  0.1844607   0.00346874], Reward: 159.04304635761827
693 | Action: [-8.2671635e-05  8.1261143e-02  2.6047905e-03], Reward: 149.14304635761883
792 | Action: [-0.12892108  0.11913362  0.00821334], Reward: 139.2430463576194
891 | Action: [-0.3129489   0.17184648  0.00367239], Reward: 129.34304635761995
990 | Action: [-0.7840875   0.08556103  0.00240958], Reward: 119.44304635762052
1089 | Action: [-0.40994     0.1792635   0.00244005], Reward: 109.54304635762108
1188 | Action: [0.22293977 0.12778665 0.00655391], Reward: 136.0668874172243
Episode took: 31.346625089645386 seconds
***************** Episode: 100 | Action: [0.39352196 0.34575352 0.05719279], Reward: 6.5889632107023415
99 | Action: [0.2455618  0.13708492 0.00887965], Reward: 40.1672240802675
198 | Action: [-0.5788451   0.17904907  0.00368555], Reward: 110.53478260869599
297 | Action: [-0.7165989   0.16613796  0.00383029], Reward: 130.73511705685715
396 | Action: [0.10813458 0.1829071  0.00445903], Reward: 127.52408026756007
495 | Action: [-0.36691546  0.21139264  0.01199283], Reward: 144.37993311037005
594 | Action: [-0.30914807  0.17303963  0.00367164], Reward: 167.92474916388238
693 | Action: [0.6534515  0.24012507 0.00676263], Reward: 158.02474916388294
792 | Action: [-0.17041019  0.08267611  0.00310835], Reward: 148.1247491638835
891 | Action: [-0.6320263   0.14648448  0.00324871], Reward: 138.22474916388407
990 | Action: [0.25276235 0.09778553 0.00973087], Reward: 128.32474916388463
1089 | Action: [0.21969289 0.2080446  0.02843731], Reward: 118.4247491638852
1188 | Action: [-0.29128888  0.20266783  0.00608544], Reward: 108.52474916388576
Episode took: 30.637338161468506 seconds
***************** Episode: 110 | Action: [0.91599274 0.11093672 0.06952592], Reward: 7.743137254901961
99 | Action: [-0.42395887  0.11975387  0.00166553], Reward: 44.901960784313665
198 | Action: [0.03563346 0.19446354 0.00584892], Reward: 136.96274509803956
297 | Action: [-0.00655007  0.1982738   0.00811282], Reward: 248.63137254902009
396 | Action: [-0.06208666  0.1688616   0.00288937], Reward: 336.77058823529285
495 | Action: [-0.32411826  0.18067707  0.00333672], Reward: 326.8705882352906
594 | Action: [-0.31832135  0.25425103  0.00543128], Reward: 320.89215686273934
693 | Action: [-0.5497397   0.15193534  0.00409668], Reward: 393.345098039208
792 | Action: [0.2807792  0.26247576 0.01463015], Reward: 501.0921568627356
891 | Action: [-0.43982893  0.17302458  0.00303024], Reward: 538.2509803921447
990 | Action: [0.4324003  0.15576091 0.00439507], Reward: 547.9588235293971
1089 | Action: [-0.53477854  0.06785256  0.00143108], Reward: 538.0588235293949
1188 | Action: [-0.65164745  0.09811668  0.00202517], Reward: 606.5901960784114
Episode took: 36.42867422103882 seconds
***************** Episode: 120 | Action: [0.8837115  0.07536701 0.06474394], Reward: 6.8204152249134955
99 | Action: [-0.79788715  0.15753706  0.00179524], Reward: 38.44290657439443
198 | Action: [0.36221966 0.45865092 0.01546437], Reward: 118.50830449827016
297 | Action: [-0.27493045  0.24355027  0.00879088], Reward: 188.1930795847758
396 | Action: [-0.35462314  0.14255413  0.00285093], Reward: 240.57681660899772
495 | Action: [-0.33281592  0.1606222   0.00358783], Reward: 230.67681660899828
594 | Action: [-0.30914807  0.17303963  0.00367164], Reward: 220.77681660899884
693 | Action: [-0.30914807  0.17303963  0.00367164], Reward: 210.8768166089994
792 | Action: [0.76369524 0.2997611  0.00759417], Reward: 200.97681660899997
891 | Action: [-0.97654253  0.17686403  0.002043  ], Reward: 249.90034602076514
990 | Action: [-9.08947945e-01  1.10001676e-01  8.14365922e-04], Reward: 274.6024221453307
1089 | Action: [0.2684987  0.07481211 0.00404505], Reward: 302.7647058823529
1188 | Action: [-0.20387514  0.17167266  0.00402164], Reward: 292.8647058823507
Episode took: 38.27021908760071 seconds
***************** Episode: 130 | Action: [0.8315377  0.07227986 0.05831046], Reward: 7.39063670411985
99 | Action: [-0.01820578  0.11609621  0.00098445], Reward: 42.43445692883889
198 | Action: [-0.7803668   0.11644114  0.00210811], Reward: 129.91273408239732
297 | Action: [-0.9348538   0.21357557  0.00133706], Reward: 232.37228464419522
396 | Action: [-0.87912816  0.13302675  0.00371782], Reward: 346.06779026217134
495 | Action: [-0.33106554  0.17578788  0.00400179], Reward: 384.8569288389483
594 | Action: [-0.29863226  0.12907428  0.00255414], Reward: 374.95692883894606
693 | Action: [0.22596234 0.08245237 0.00260936], Reward: 365.0569288389438
792 | Action: [-0.804673    0.23071899  0.00387054], Reward: 362.64756554306143
891 | Action: [0.25175038 0.14913467 0.00637122], Reward: 356.4928838951191
990 | Action: [-0.8952904   0.16233888  0.00155539], Reward: 361.5741573033566
1089 | Action: [-0.3129489   0.17184648  0.00367239], Reward: 355.4194756554143
1188 | Action: [0.23078011 0.26302582 0.00496752], Reward: 345.51947565541207
Episode took: 39.721299171447754 seconds
***************** Episode: 140 | Action: [0.9098649  0.09701487 0.06758604], Reward: 6.07283950617284
99 | Action: [-9.6068627e-01  1.7810754e-01  6.7583029e-04], Reward: 33.209876543209845
198 | Action: [0.01972521 0.21205746 0.00985355], Reward: 103.55679012345695
297 | Action: [0.71234524 0.10779906 0.0061989 ], Reward: 192.4222222222232
396 | Action: [-0.35462314  0.14255413  0.00285093], Reward: 225.73209876543382
495 | Action: [-0.30156645  0.17547907  0.00366953], Reward: 215.83209876543438
594 | Action: [-0.19050407  0.07893868  0.00276503], Reward: 218.27777777778067
693 | Action: [-0.59220743  0.18087094  0.00238982], Reward: 217.63703703704053
792 | Action: [-0.31035542  0.17129217  0.00374182], Reward: 210.82345679012752
891 | Action: [-0.8175169   0.10947138  0.00109514], Reward: 200.92345679012809
990 | Action: [-0.14814623  0.25811258  0.01022957], Reward: 191.02345679012865
1089 | Action: [-0.30914807  0.17303963  0.00367164], Reward: 181.1234567901292
1188 | Action: [0.1832935  0.06755324 0.00271078], Reward: 171.22345679012977
Episode took: 38.27322697639465 seconds
***************** Episode: 150 | Action: [0.8309996  0.08271568 0.05455578], Reward: 6.229113924050633
99 | Action: [-0.7881093   0.10571254  0.00116923], Reward: 37.4683544303797
198 | Action: [-0.96057504  0.14322121  0.00330313], Reward: 103.51772151898754
297 | Action: [-0.33361673  0.1611341   0.00359869], Reward: 122.09873417721596
396 | Action: [-0.30156645  0.17547907  0.00366953], Reward: 112.19873417721652
495 | Action: [-0.12691829  0.3720243   0.00877673], Reward: 102.29873417721709
594 | Action: [-0.07374677  0.22195284  0.01063375], Reward: 162.01898734177476
693 | Action: [-0.51948166  0.09438274  0.00210982], Reward: 253.38481012658588
792 | Action: [-0.95208794  0.13432129  0.00113454], Reward: 268.8012658227864
891 | Action: [-0.28365377  0.1309046   0.00486125], Reward: 274.72405063291063
990 | Action: [-0.29949382  0.17275487  0.00452706], Reward: 283.8113924050602
1089 | Action: [-0.4444119   0.16150434  0.00239694], Reward: 305.55696202531095
1188 | Action: [-0.21054259  0.18905865  0.00343436], Reward: 295.6569620253087
Episode took: 38.56661415100098 seconds
***************** Episode: 160 | Action: [0.34911615 0.29252562 0.05610056], Reward: 6.310256410256411
99 | Action: [0.2196695  0.21137801 0.01227761], Reward: 38.076923076923016
198 | Action: [0.1589438  0.16317502 0.00671005], Reward: 108.3051282051284
297 | Action: [-0.7072259   0.13680235  0.00178924], Reward: 117.63589743589819
396 | Action: [-0.31031546  0.17134918  0.00373951], Reward: 114.14615384615516
495 | Action: [0.05345754 0.19661371 0.01064346], Reward: 120.27179487179674
594 | Action: [-0.26701483  0.17424372  0.00363896], Reward: 123.19230769231012
693 | Action: [-0.2262569   0.09276958  0.00216881], Reward: 113.29230769231069
792 | Action: [-0.3516919   0.12081555  0.00287277], Reward: 113.00769230769586
891 | Action: [0.02211359 0.21462364 0.00614947], Reward: 103.10769230769642
990 | Action: [0.05807672 0.22388655 0.00384028], Reward: 93.20769230769699
1089 | Action: [0.11452474 0.18793076 0.00375736], Reward: 83.30769230769755
1188 | Action: [-0.24198635  0.04762654  0.00247621], Reward: 73.40769230769811
Episode took: 38.79892086982727 seconds
***************** Episode: 170 | Action: [0.8727671  0.07138547 0.06398519], Reward: 7.682101167315175
99 | Action: [-0.4031922   0.10929943  0.00289405], Reward: 44.47470817120617
198 | Action: [0.18010825 0.15752158 0.00764194], Reward: 131.85097276264622
297 | Action: [-0.01610429  0.13185212  0.00480238], Reward: 211.44513618677098
396 | Action: [0.05652627 0.12044986 0.00399945], Reward: 201.54513618677154
495 | Action: [0.7375853  0.09982607 0.00767228], Reward: 191.6451361867721
594 | Action: [0.08437258 0.11170455 0.00307657], Reward: 247.89299610895142
693 | Action: [0.5138435  0.10554611 0.00691782], Reward: 346.9424124513622
792 | Action: [0.42440167 0.12336902 0.00632802], Reward: 445.9918287937728
891 | Action: [-0.38303655  0.13933603  0.00249693], Reward: 436.09182879377056
990 | Action: [-0.88993907  0.04563745  0.00182704], Reward: 426.1918287937683
1089 | Action: [0.2264559  0.2605912  0.00892671], Reward: 474.6575875486301
1188 | Action: [-0.95747036  0.12619872  0.00347872], Reward: 569.8159533073831
Episode took: 36.930192947387695 seconds
***************** Episode: 180 | Action: [0.41412646 0.3056842  0.05648658], Reward: 6.566666666666667
99 | Action: [-0.17856598  0.22961612  0.00787123], Reward: 39.99999999999995
198 | Action: [-0.43454242  0.17281125  0.00146236], Reward: 106.76666666666685
297 | Action: [-0.54523265  0.0847478   0.00180415], Reward: 126.86666666666738
396 | Action: [0.16522907 0.16668282 0.00961409], Reward: 133.63333333333463
495 | Action: [-0.15675007  0.15445112  0.00161824], Reward: 123.7333333333352
594 | Action: [0.88405615 0.16279343 0.00952337], Reward: 190.50000000000261
693 | Action: [-0.8871763   0.09424654  0.00121332], Reward: 267.26666666666915
792 | Action: [-0.4195584   0.16682768  0.00303231], Reward: 277.3666666666668
891 | Action: [-0.00460669  0.12455948  0.0052992 ], Reward: 284.1333333333311
990 | Action: [-0.5597895   0.14240848  0.00193485], Reward: 287.5666666666621
1089 | Action: [0.35254362 0.06482835 0.00387164], Reward: 294.33333333332644
1188 | Action: [-0.95687675  0.1487692   0.00193067], Reward: 301.09999999999076
Episode took: 38.05666422843933 seconds
***************** Episode: 190 | Action: [0.862533   0.08155347 0.06666656], Reward: 6.893006993006994
99 | Action: [-0.1672937   0.15181603  0.00134339], Reward: 38.95104895104891
198 | Action: [0.01216667 0.48582736 0.01276489], Reward: 116.46363636363664
297 | Action: [-0.33092642  0.4018944   0.01617108], Reward: 204.46573426573502
396 | Action: [-0.3129489   0.17184648  0.00367239], Reward: 264.4958041958045
495 | Action: [-0.20889315  0.07945441  0.00239405], Reward: 254.59580419580269
594 | Action: [0.8193589  0.1372002  0.00564929], Reward: 244.69580419580325
693 | Action: [0.4357508  0.14793915 0.00708579], Reward: 276.75384615384525
792 | Action: [-0.19199733  0.47179544  0.01173745], Reward: 371.74895104894864
891 | Action: [-0.94190896  0.13778172  0.0026894 ], Reward: 477.2335664335626
990 | Action: [0.55702937 0.24798857 0.00471735], Reward: 512.7881118881061
1089 | Action: [-0.6510193   0.15974857  0.00480684], Reward: 502.8881118881038
1188 | Action: [-0.19594716  0.14926842  0.00134491], Reward: 503.47762237761214
Episode took: 36.730998039245605 seconds
***************** Episode: 200 | Action: [0.88637185 0.08629334 0.06379579], Reward: 7.120216606498195
99 | Action: [-0.23315087  0.09354512  0.00297993], Reward: 40.541516245487315
198 | Action: [-0.04475017  0.16371846  0.00700664], Reward: 117.28411552346589
297 | Action: [0.21376891 0.22102588 0.00378068], Reward: 219.2974729241883
396 | Action: [0.24730033 0.22909339 0.00790649], Reward: 324.92093862815807
495 | Action: [-0.02387022  0.08886352  0.00214974], Reward: 394.44332129963584
594 | Action: [-0.35182652  0.18900825  0.00259057], Reward: 388.1534296028827
693 | Action: [0.31521705 0.13519683 0.00784268], Reward: 461.28592057760955
792 | Action: [-0.50362474  0.15680532  0.00725637], Reward: 487.4870036100982
891 | Action: [-0.30914807  0.17303963  0.00367164], Reward: 564.2296028880751
990 | Action: [-0.35462314  0.14255413  0.00285093], Reward: 554.3296028880728
1089 | Action: [-0.95578617  0.12281914  0.00110108], Reward: 548.0397111913197
1188 | Action: [-0.2283909   0.44761214  0.01229671], Reward: 548.9700361010649
Episode took: 37.016160011291504 seconds
